"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"258","3.125384896","12:26:39.544149482","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=367 Ack=5514 Win=8326 Len=10 TSval=453817 TSecr=1542827343"
"267","3.225421488","12:26:39.644186074","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=377 Ack=5631 Win=8326 Len=10 TSval=453826 TSecr=1542827443"
"274","3.325375847","12:26:39.744140433","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=387 Ack=5752 Win=8326 Len=10 TSval=453835 TSecr=1542827543"
"281","3.425360212","12:26:39.844124798","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=397 Ack=5878 Win=8326 Len=10 TSval=453844 TSecr=1542827642"
"288","3.525364059","12:26:39.944128645","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=407 Ack=5999 Win=8326 Len=10 TSval=453853 TSecr=1542827742"
"299","3.625382736","12:26:40.044147322","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=427 Ack=6582 Win=8326 Len=10 TSval=453862 TSecr=1542827843"
"306","3.725363809","12:26:40.144128395","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=437 Ack=6703 Win=8326 Len=10 TSval=453871 TSecr=1542827942"
"313","3.825367203","12:26:40.244131789","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=447 Ack=6828 Win=8326 Len=10 TSval=453880 TSecr=1542828042"
"320","3.925362746","12:26:40.344127332","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=457 Ack=6950 Win=8326 Len=10 TSval=453889 TSecr=1542828142"
"333","4.025355688","12:26:40.444120274","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=467 Ack=7071 Win=8326 Len=10 TSval=453898 TSecr=1542828242"
"340","4.125379994","12:26:40.544144580","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=477 Ack=7191 Win=8326 Len=10 TSval=453907 TSecr=1542828343"
"349","4.225394091","12:26:40.644158677","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=487 Ack=7308 Win=8326 Len=10 TSval=453915 TSecr=1542828442"
"356","4.325369635","12:26:40.744134221","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=497 Ack=7429 Win=8326 Len=10 TSval=453925 TSecr=1542828543"
"363","4.425346631","12:26:40.844111217","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=507 Ack=7555 Win=8326 Len=10 TSval=453934 TSecr=1542828642"
"370","4.525344184","12:26:40.944108770","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=517 Ack=7676 Win=8326 Len=10 TSval=453943 TSecr=1542828742"
"381","4.625391523","12:26:41.044156109","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=537 Ack=8259 Win=8326 Len=10 TSval=453952 TSecr=1542828843"
"388","4.725351150","12:26:41.144115736","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=547 Ack=8380 Win=8326 Len=10 TSval=453961 TSecr=1542828942"
"395","4.825359546","12:26:41.244124132","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=557 Ack=8505 Win=8326 Len=10 TSval=453970 TSecr=1542829042"
"404","4.925349107","12:26:41.344113693","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=580 Ack=8808 Win=8326 Len=10 TSval=453979 TSecr=1542829203"
"417","5.025349300","12:26:41.444113886","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=590 Ack=8929 Win=8326 Len=10 TSval=453988 TSecr=1542829242"
"424","5.125386521","12:26:41.544151107","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=600 Ack=9049 Win=8326 Len=10 TSval=453997 TSecr=1542829342"
"433","5.225364459","12:26:41.644129045","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=610 Ack=9166 Win=8326 Len=10 TSval=454006 TSecr=1542829442"
"440","5.325398373","12:26:41.744162959","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=620 Ack=9287 Win=8326 Len=10 TSval=454015 TSecr=1542829542"
"447","5.425337159","12:26:41.844101745","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=630 Ack=9413 Win=8326 Len=10 TSval=454024 TSecr=1542829643"
"454","5.525361259","12:26:41.944125845","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=640 Ack=9534 Win=8326 Len=10 TSval=454033 TSecr=1542829742"
"465","5.625399481","12:26:42.044164067","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=660 Ack=10117 Win=8326 Len=10 TSval=454042 TSecr=1542829843"
"472","5.725358455","12:26:42.144123041","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=670 Ack=10238 Win=8326 Len=10 TSval=454051 TSecr=1542829942"
"479","5.825358599","12:26:42.244123185","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=680 Ack=10363 Win=8326 Len=10 TSval=454060 TSecr=1542830042"
"486","5.925422437","12:26:42.344187023","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=690 Ack=10485 Win=8326 Len=10 TSval=454069 TSecr=1542830142"
"499","6.025459374","12:26:42.444223960","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=700 Ack=10606 Win=8326 Len=10 TSval=454078 TSecr=1542830243"
"506","6.125376634","12:26:42.544141220","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=710 Ack=10726 Win=8326 Len=10 TSval=454087 TSecr=1542830343"
"515","6.225352364","12:26:42.644116950","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=720 Ack=10843 Win=8326 Len=10 TSval=454096 TSecr=1542830442"
"522","6.325394189","12:26:42.744158775","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=730 Ack=10964 Win=8326 Len=10 TSval=454105 TSecr=1542830542"
"529","6.425392855","12:26:42.844157441","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=740 Ack=11090 Win=8326 Len=10 TSval=454114 TSecr=1542830643"
"536","6.525330644","12:26:42.944095230","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=750 Ack=11211 Win=8326 Len=10 TSval=454123 TSecr=1542830742"
"547","6.625378872","12:26:43.044143458","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=770 Ack=11794 Win=8326 Len=10 TSval=454132 TSecr=1542830843"
"554","6.725353137","12:26:43.144117723","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=780 Ack=11915 Win=8326 Len=10 TSval=454141 TSecr=1542830942"
