"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"270","3.226910187","12:26:39.645674773","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=5631 Ack=387 Win=538 Len=121 TSval=1542827543 TSecr=453826"
"278","3.326921865","12:26:39.745686451","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=5752 Ack=397 Win=537 Len=126 TSval=1542827642 TSecr=453835"
"284","3.426886557","12:26:39.845651143","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=5878 Ack=407 Win=537 Len=121 TSval=1542827742 TSecr=453844"
"291","3.526878819","12:26:39.945643405","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=5999 Ack=417 Win=537 Len=116 TSval=1542827843 TSecr=453853"
"302","3.626902045","12:26:40.045666631","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=6582 Ack=437 Win=537 Len=121 TSval=1542827942 TSecr=453862"
"309","3.726959903","12:26:40.145724489","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=6703 Ack=447 Win=537 Len=125 TSval=1542828042 TSecr=453871"
"316","3.826975472","12:26:40.245740058","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=6828 Ack=457 Win=537 Len=122 TSval=1542828142 TSecr=453880"
"323","3.926620466","12:26:40.345385052","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=6950 Ack=467 Win=537 Len=121 TSval=1542828242 TSecr=453889"
"336","4.027028788","12:26:40.445793374","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=7071 Ack=477 Win=537 Len=120 TSval=1542828343 TSecr=453898"
"343","4.126628050","12:26:40.545392636","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=7191 Ack=487 Win=537 Len=117 TSval=1542828442 TSecr=453907"
"352","4.226887028","12:26:40.645651614","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=7308 Ack=497 Win=537 Len=121 TSval=1542828543 TSecr=453915"
"359","4.326922676","12:26:40.745687262","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=7429 Ack=507 Win=537 Len=126 TSval=1542828642 TSecr=453925"
"366","4.426965173","12:26:40.845729759","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=7555 Ack=517 Win=537 Len=121 TSval=1542828742 TSecr=453934"
"373","4.526896885","12:26:40.945661471","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=7676 Ack=527 Win=537 Len=116 TSval=1542828843 TSecr=453943"
"384","4.626925013","12:26:41.045689599","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=8259 Ack=547 Win=537 Len=121 TSval=1542828942 TSecr=453952"
"391","4.726876577","12:26:41.145641163","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=8380 Ack=557 Win=543 Len=125 TSval=1542829042 TSecr=453961"
"398","4.826892385","12:26:41.245656971","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=8505 Ack=567 Win=542 Len=122 TSval=1542829142 TSecr=453970"
"407","4.926614202","12:26:41.345378788","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=8808 Ack=590 Win=542 Len=121 TSval=1542829242 TSecr=453979"
"420","5.026688633","12:26:41.445453219","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=8929 Ack=600 Win=542 Len=120 TSval=1542829342 TSecr=453988"
"427","5.126621563","12:26:41.545386149","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=9049 Ack=610 Win=542 Len=117 TSval=1542829442 TSecr=453997"
"436","5.226843910","12:26:41.645608496","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=9166 Ack=620 Win=542 Len=121 TSval=1542829542 TSecr=454006"
"443","5.326946311","12:26:41.745710897","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=9287 Ack=630 Win=542 Len=126 TSval=1542829643 TSecr=454015"
"450","5.426936376","12:26:41.845700962","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=9413 Ack=640 Win=542 Len=121 TSval=1542829742 TSecr=454024"
"457","5.526899458","12:26:41.945664044","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=9534 Ack=650 Win=542 Len=116 TSval=1542829843 TSecr=454033"
"468","5.626936838","12:26:42.045701424","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=10117 Ack=670 Win=542 Len=121 TSval=1542829942 TSecr=454042"
"475","5.726944429","12:26:42.145709015","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=10238 Ack=680 Win=542 Len=125 TSval=1542830042 TSecr=454051"
"482","5.826917981","12:26:42.245682567","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=10363 Ack=690 Win=542 Len=122 TSval=1542830142 TSecr=454060"
"489","5.926684520","12:26:42.345449106","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=10485 Ack=700 Win=542 Len=121 TSval=1542830243 TSecr=454069"
"502","6.027019514","12:26:42.445784100","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=10606 Ack=710 Win=542 Len=120 TSval=1542830343 TSecr=454078"
"509","6.126751328","12:26:42.545515914","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=10726 Ack=720 Win=542 Len=117 TSval=1542830442 TSecr=454087"
"518","6.226908826","12:26:42.645673412","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=10843 Ack=730 Win=542 Len=121 TSval=1542830542 TSecr=454096"
"525","6.326979553","12:26:42.745744139","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=10964 Ack=740 Win=542 Len=126 TSval=1542830643 TSecr=454105"
"532","6.426929553","12:26:42.845694139","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=11090 Ack=750 Win=542 Len=121 TSval=1542830742 TSecr=454114"
"539","6.526916857","12:26:42.945681443","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=11211 Ack=760 Win=542 Len=116 TSval=1542830843 TSecr=454123"
"550","6.626914903","12:26:43.045679489","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=11794 Ack=780 Win=542 Len=121 TSval=1542830942 TSecr=454132"
"557","6.726943206","12:26:43.145707792","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=11915 Ack=790 Win=542 Len=125 TSval=1542831042 TSecr=454141"
"564","6.826896114","12:26:43.245660700","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=12040 Ack=800 Win=542 Len=122 TSval=1542831142 TSecr=454150"
"573","6.926604669","12:26:43.345369255","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=12343 Ack=823 Win=541 Len=121 TSval=1542831242 TSecr=454159"
"586","7.026722134","12:26:43.445486720","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=12464 Ack=833 Win=541 Len=120 TSval=1542831342 TSecr=454168"
"593","7.126689087","12:26:43.545453673","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=12584 Ack=843 Win=541 Len=117 TSval=1542831443 TSecr=454177"
"602","7.226846648","12:26:43.645611234","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=12701 Ack=853 Win=541 Len=121 TSval=1542831532 TSecr=454186"
"609","7.326968007","12:26:43.745732593","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=12822 Ack=863 Win=541 Len=126 TSval=1542831643 TSecr=454196"
"616","7.426953665","12:26:43.845718251","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=12948 Ack=873 Win=541 Len=121 TSval=1542831733 TSecr=454205"
"623","7.526869540","12:26:43.945634126","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=13069 Ack=883 Win=541 Len=116 TSval=1542831842 TSecr=454214"
"634","7.626899512","12:26:44.045664098","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=13652 Ack=903 Win=541 Len=121 TSval=1542831942 TSecr=454223"
"641","7.726887245","12:26:44.145651831","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=13773 Ack=913 Win=541 Len=125 TSval=1542832035 TSecr=454232"
"648","7.826883455","12:26:44.245648041","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=13898 Ack=923 Win=541 Len=122 TSval=1542832142 TSecr=454241"
"655","7.926617747","12:26:44.345382333","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=14020 Ack=933 Win=541 Len=121 TSval=1542832237 TSecr=454250"
"667","8.026786119","12:26:44.445550705","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=14141 Ack=943 Win=541 Len=120 TSval=1542832342 TSecr=454259"
"675","8.126624318","12:26:44.545388904","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=14261 Ack=953 Win=541 Len=117 TSval=1542832438 TSecr=454268"
"684","8.226841521","12:26:44.645606107","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=14378 Ack=963 Win=541 Len=121 TSval=1542832539 TSecr=454277"
"691","8.326900559","12:26:44.745665145","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=14499 Ack=973 Win=541 Len=126 TSval=1542832640 TSecr=454286"
"698","8.426927848","12:26:44.845692434","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=14625 Ack=983 Win=541 Len=121 TSval=1542832740 TSecr=454295"
"705","8.526882761","12:26:44.945647347","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=14746 Ack=993 Win=541 Len=116 TSval=1542832842 TSecr=454304"
"716","8.626905363","12:26:45.045669949","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=15329 Ack=1013 Win=541 Len=121 TSval=1542832942 TSecr=454313"
"722","8.726894764","12:26:45.145659350","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=15450 Ack=1023 Win=541 Len=125 TSval=1542833042 TSecr=454322"
"729","8.826858291","12:26:45.245622877","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=15575 Ack=1033 Win=541 Len=122 TSval=1542833142 TSecr=454331"
"737","8.926781096","12:26:45.345545682","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=15878 Ack=1056 Win=541 Len=121 TSval=1542833242 TSecr=454340"
